"Source","Target","Flow"
"Accursio - Portello","Accursio - Portello",12
"Accursio - Portello","Amendola M1",9
"Accursio - Portello","Arcivescovado",2
"Accursio - Portello","Arco della Pace 1 - Bertani",2
"Accursio - Portello","Arco della Pace 2 - Pagano",5
"Accursio - Portello","Arcole - Argelati",2
"Accursio - Portello","Augusto",20
"Accursio - Portello","Bausan - Brofferio",4
"Accursio - Portello","Bergognone - Tortona",6
"Accursio - Portello","Bertarelli",1
"Accursio - Portello","Bonomelli",1
"Accursio - Portello","Borsieri - Confalonieri",1
"Accursio - Portello","Brera",1
"Accursio - Portello","Brescia",3
"Accursio - Portello","Brianza - Venini",2
"Accursio - Portello","Buenos Aires - Argentina",1
"Accursio - Portello","Buonarroti",14
"Accursio - Portello","Ca' Granda - F. Testi",1
"Accursio - Portello","Cadorna 2",4
"Accursio - Portello","Cadorna 3",2
"Accursio - Portello","Caiazzo",1
"Accursio - Portello","Cairoli",43
"Accursio - Portello","Caneva - Tolentino",16
"Accursio - Portello","Canova - Sangiorgio",8
"Accursio - Portello","Cantore",2
"Accursio - Portello","Cantù",2
"Accursio - Portello","Carlo Magno - Alcuino",10
"Accursio - Portello","Castelli - Ailanti",32
"Accursio - Portello","Castello Acquario civico",2
"Accursio - Portello","Centrale 1",2
"Accursio - Portello","Chiesa - E. Filiberto",30
"Accursio - Portello","Conciliazione",1
"Accursio - Portello","Cordusio",2
"Accursio - Portello","Cusani",10
"Accursio - Portello","D'Ancona",6
"Accursio - Portello","Dante - San Tomaso",3
"Accursio - Portello","Dateo",4
"Accursio - Portello","De Angeli - R. Sanzio",24
"Accursio - Portello","Domodossola FNM - Filelfo",86
"Accursio - Portello","Duomo",8
"Accursio - Portello","Edison",1
"Accursio - Portello","Elba - Cimarosa",10
"Accursio - Portello","Emilia - Piceno",1
"Accursio - Portello","Erculea",1
"Accursio - Portello","F.Filzi",14
"Accursio - Portello","Farini - Quadrio",2
"Accursio - Portello","Fatebenefratelli",2
"Accursio - Portello","Festa del Perdono",1
"Accursio - Portello","Foppa - Caravaggio",2
"Accursio - Portello","Gadio - Paleocapa",1
"Accursio - Portello","Galvani - Restelli - RL",1
"Accursio - Portello","Garibaldi - Sturzo",3
"Accursio - Portello","Gioia - Pirelli",1
"Accursio - Portello","Gorizia 1",1
"Accursio - Portello","Govone - Borgese",3
"Accursio - Portello","Indipendenza-Castel Morrone",1
"Accursio - Portello","IV Novembre",2
"Accursio - Portello","Lancetti Passante - Maloja",7
"Accursio - Portello","Lanza",6
"Accursio - Portello","Legnano Arena civica",10
"Accursio - Portello","Loreto 1",1
"Accursio - Portello","Lotto",57
"Accursio - Portello","Mac Mahon - Artieri",39
"Accursio - Portello","Mac Mahon - Caracciolo",6
"Accursio - Portello","Maciachini - Marche",1
"Accursio - Portello","Manin - Bastioni",2
"Accursio - Portello","Manzoni",3
"Accursio - Portello","Marussig - Castelvetro",2
"Accursio - Portello","Mascagni",2
"Accursio - Portello","Melzi d Eril - Cagnola",6
"Accursio - Portello","Milizie - Tortona",1
"Accursio - Portello","Molino Dorino M1",1
"Accursio - Portello","Napoli - Washington",1
"Accursio - Portello","Naviglio Pavese - Torricelli",5
"Accursio - Portello","Nigra - Castellini",1
"Accursio - Portello","Pagano - Guido D'Arezzo",3
"Accursio - Portello","Palazzo Marino",1
"Accursio - Portello","Piazzi - Bernina",1
"Accursio - Portello","Porta Genova",16
"Accursio - Portello","Porta Nuova",2
"Accursio - Portello","Porta Venezia",1
"Accursio - Portello","Procaccini - Gramsci",17
"Accursio - Portello","Procaccini . Cimitero Monumentale",2
"Accursio - Portello","QT8 - Isernia",19
"Accursio - Portello","Repubblica",2
"Accursio - Portello","Risorgimento",8
"Accursio - Portello","Roncaglia - Washington",6
"Accursio - Portello","Rosario",2
"Accursio - Portello","S. F. Romana",1
"Accursio - Portello","San Babila",1
"Accursio - Portello","San Giovanni sul Muro",6
"Accursio - Portello","San Lorenzo - ""Colonne""",1
"Accursio - Portello","San Marco",1
"Accursio - Portello","San Pietro in Gessate",1
"Accursio - Portello","Sant'Agostino",1
"Accursio - Portello","Sant'Ambrogio",5
"Accursio - Portello","Sant'Angelo - P.ta Nuova",8
"Accursio - Portello","Santa Maria Beltrade",1
"Accursio - Portello","Santa Maria delle Grazie",6
"Accursio - Portello","Santissima Trinità",8
"Accursio - Portello","Sarpi Albertini",7
"Accursio - Portello","Sarpi Niccolini",5
"Accursio - Portello","Savona - Tolstoj",12
"Accursio - Portello","Sempione - Melzi d Eril",39
"Accursio - Portello","Sempione - RAI",42
"Accursio - Portello","Stuparich - Albani",29
"Accursio - Portello","Teodorico - Gattamelata",14
"Accursio - Portello","Teodosio - Pacini",1
"Accursio - Portello","Tommaseo",1
"Accursio - Portello","Triennale",3
"Accursio - Portello","Tunisia Lecco Bellintani",7
"Accursio - Portello","Università Cattolica",13
"Accursio - Portello","V Alpini",1
"Accursio - Portello","Valtellina - Farini",2
"Accursio - Portello","Vercelli - Cherubini",3
"Accursio - Portello","Vercelli - Piemonte",37
"Accursio - Portello","VI Febbraio",5
"Accursio - Portello","Vigliani - Scarampo",22
"Accursio - Portello","Villapizzone FFSS - Lambruschini",1
"Accursio - Portello","Vittor Pisani",1
"Accursio - Portello","XXV Aprile",5
"Accursio - Portello","Zavattari - Tempesta",19
"Adamello - Lorenzini","Adamello - Lorenzini",1
"Adamello - Lorenzini","Arcivescovado",1
"Adamello - Lorenzini","Arcole - Argelati",6
"Adamello - Lorenzini","Ascanio Sforza - Pavia",16
"Adamello - Lorenzini","Balilla - Tibaldi",2
"Adamello - Lorenzini","Benaco - Brembo",39
"Adamello - Lorenzini","Bocconi 2 - Bach",10
"Adamello - Lorenzini","Bocconi 3 - I. Aragona",1
"Adamello - Lorenzini","Bonomelli",31
"Adamello - Lorenzini","Brenta MM",8
"Adamello - Lorenzini","Buenos Aires - Argentina",1
"Adamello - Lorenzini","Cadore - Pinaroli",1
"Adamello - Lorenzini","Cadorna 1",18
"Adamello - Lorenzini","Cadorna 2",1
"Adamello - Lorenzini","Cadorna 3",3
"Adamello - Lorenzini","Cantore",1
"Adamello - Lorenzini","Cardinal Ferrari",1
"Adamello - Lorenzini","Cinque Giornate",2
"Adamello - Lorenzini","Crema - Giulio Romano",7
"Adamello - Lorenzini","Crocetta",3
"Adamello - Lorenzini","D'Ancona",2
"Adamello - Lorenzini","De Angeli - Ripamonti",5
"Adamello - Lorenzini","Diaz",7
"Adamello - Lorenzini","Domodossola FNM - Filelfo",1
"Adamello - Lorenzini","Edison",2
